loan_id,customer_id,loan_status,loan_amt,term,credit_score,annual_income,job_mob,home_ownership,purpose,monthly_debt,cretir_hist_year,mob_last_delq,acct_open_num,credit_balance,bankruptcy
14dd8831-6af5-400b-83ec-68e61888a048,981165ec-3274-42f5-a3b4-d104041a9ca9,Fully Paid,445412,Short Term,709,1167493,8 years,Home Mortgage,Home Improvements,5214.74,17.2,NA,6,228190,1
4eed4e6a-aa2f-4c91-8651-ce984ee8fb26,5efb2b2b-bf11-4dfd-a572-3761a2694725,Fully Paid,99999999,Short Term,741,2231892,8 years,Own Home,Debt Consolidation,29200.53,14.9,29,18,297996,0
77598f7b-32e7-4e3b-a6e5-06ba0d98fe8a,e777faab-98ae-45af-9a86-7ce5b33b1011,Fully Paid,347666,Long Term,721,806949,3 years,Own Home,Debt Consolidation,8741.9,12,NA,9,256329,0
89d8cb0c-e5c2-4f54-b056-48a645c543dd,4ffe99d3-7f2a-44db-afc1-40943f1f9750,Charged Off,206602,Short Term,7290,896857,10+ years,Home Mortgage,Debt Consolidation,16367.74,17.3,NA,6,215308,0
273581de-85d8-4332-81a5-19b04ce68666,90a75dde-34d5-419c-90dc-1e58b04b3e35,Fully Paid,217646,Short Term,730,1184194,< 1 year,Home Mortgage,Debt Consolidation,10855.08,19.6,10,13,122170,1
8af915d9-9e91-44a0-b5a2-564a45c12089,af534dea-d27e-4fd6-9de8-efaa52a78ec0,Fully Paid,548746,Short Term,678,2559110,2 years,Rent,Debt Consolidation,18660.28,22.6,33,4,437171,0
0b1c4e3d-bd97-45ce-9622-22732fcdc9a0,235c4a43-dadf-483d-aa44-9d6d77ae4583,Fully Paid,215952,Short Term,739,1454735,< 1 year,Rent,Debt Consolidation,39277.75,13.9,NA,20,669560,0
32c2e48f-1ba8-45e0-a530-9a6622c18d9c,0de7bcdb-ebf4-4608-ba39-05f083f855b6,Fully Paid,99999999,Short Term,728,714628,3 years,Rent,Debt Consolidation,11851.06,16,76,16,203965,0
403d7235-0284-4bb6-919a-09402fecbf7b,11581f68-de3c-49d8-80d9-22268ebb323b,Fully Paid,99999999,Short Term,740,776188,< 1 year,Own Home,Debt Consolidation,11578.22,8.5,25,6,134083,0
01d878ae-efa2-41e2-8159-6c834ff09f47,900c9191-2c20-4688-af7e-07c59b5d5a24,Fully Paid,99999999,Short Term,743,1560907,4 years,Rent,Debt Consolidation,17560.37,13.3,NA,10,225549,1
2e841c8f-3dc1-464d-91c1-3d3d51e64c38,2ac05980-7848-4692-89ae-9321afe650f8,Fully Paid,234124,Short Term,727,693234,10+ years,Rent,Debt Consolidation,14211.24,24.7,46,10,28291,1
